CodMun;Reeleito;sexo;idade;instrução;partido
1507755;Sim;Masculino;45;Ensino médio (2º Grau) completo;PSDB
1507805;Não;Masculino;40;Ensino médio (2º Grau) completo;PSDB
1507904;Não;Masculino;33;Pós-graduação;PR
1507953;Não;Masculino;66;Ensino superior incompleto ;PMDB
1507961;Sim;Masculino;53;Ensino médio (2º Grau) completo;PR
1507979;Não;Masculino;44;Ensino médio (2º Grau) completo;PSD
1508001;Não;Feminino;Não informou;Ensino superior incompleto ;PMDB
1508035;Não;Masculino;58;Ensino superior completo ;PR
1508050;Não;Masculino;46;Ensino fundamental (1º Grau) incompleto;PSDB
1508084;Sim;Masculino;45;Ensino médio (2º Grau) completo;PMDB
1508100;Não;Masculino;42;Ensino superior completo ;PMDB
1508126;Sim;Feminino;53;Pós-graduação;DEM
1508159;Não;Masculino;34;Pós-graduação;PMDB
1508209;Não;Feminino;39;Ensino superior completo ;PSDB
1508308;Não;Masculino;40;Ensino médio (2º Grau) completo;PR
1508357;Não;Masculino;52;Ensino médio (2º Grau) incompleto;PSB
1508407;Sim;Masculino;64;Ensino médio (2º Grau) incompleto;PSDB
1600055;Não;Masculino;42;Ensino médio (2º Grau) incompleto;PC do B
1600105;Não;Masculino;54;Ensino superior completo ;PMN
1600154;Não;Feminino;34;Ensino superior completo ;PMDB
1600204;Não;Masculino;46;Ensino médio (2º Grau) completo;PPS
1600212;Não;Masculino;52;Ensino superior completo ;PROS
1600238;Não;Masculino;51;Ensino superior incompleto ;PEN
1600253;Não;Masculino;40;Ensino superior completo ;PMDB
1600279;Não;Masculino;39;Ensino médio (2º Grau) completo;PRB
1600303;Sim;Masculino;45;Pós-graduação;REDE
1600402;Não;Masculino;45;Ensino médio (2º Grau) completo;PPL
1600501;Não;Feminino;54;Ensino médio (2º Grau) completo;PSDB
1600535;Não;Masculino;51;Ensino médio (2º Grau) completo;PDT
1600550;Não;Feminino;51;Ensino superior completo ;PR
1600600;Não;Masculino;43;Ensino superior completo ;PSDC
1600709;Não;Masculino;49;Ensino superior completo ;PMDB
1600808;Sim;Masculino;40;Ensino médio (2º Grau) completo;PT
1700251;Sim;Masculino;48;Ensino médio (2º Grau) completo;PV
1700301;Sim;Masculino;42;Ensino superior incompleto ;PRB
1700350;Não;Masculino;58;Pós-graduação;PSL
1700400;Não;Masculino;55;Ensino médio (2º Grau) completo;PMDB
1700707;Não;Masculino;40;Ensino médio (2º Grau) completo;PSD
1701002;Não;Masculino;52;Ensino médio (2º Grau) completo;PSDC
1701051;Não;Masculino;55;Ensino médio (2º Grau) completo;PP
1701101;Sim;Masculino;51;Ensino superior completo ;PSD
1701309;Não;Feminino;44;Pós-graduação;PP
1701903;Sim;Feminino;38;Pós-graduação;PMDB
1702000;Não;Masculino;58;Ensino médio (2º Grau) completo;PRB
1702109;Sim;Masculino;56;Ensino superior completo ;PR
1702158;Não;Masculino;44;Ensino médio (2º Grau) incompleto;PSD
1702208;Não;Masculino;Não informou;Ensino superior completo ;PMDB
1702307;Não;Feminino;52;Ensino superior completo ;PSD
1702406;Não;Masculino;52;Ensino superior incompleto ;PSD
1702554;Não;Masculino;Não informou;Ensino superior completo ;PRB
1702703;Sim;Masculino;54;Ensino superior completo ;PTB
